STUSAB,GEOID,STATE,COUNTY,UR,NAME,Total_20,WNH_20,Hispanic_20,Black_20,AIAN_20,Asian_20,PI_20,Other_20
FL,1266425,12,NA,NA,Sky Lake CDP,7226,1171,4571,1422,221,290,41,3568
FL,1266725,12,NA,NA,Sneads town,1699,1155,68,425,41,14,2,61
FL,1266875,12,NA,NA,Solana CDP,671,541,50,48,7,14,1,50
FL,1266925,12,NA,NA,Sopchoppy city,426,314,14,85,11,4,0,9
FL,1266975,12,NA,NA,Sorrento CDP,845,471,325,33,16,14,0,210
FL,1267163,12,NA,NA,South Apopka CDP,6803,1039,1762,3997,103,74,4,1320
FL,1267175,12,NA,NA,South Bay city,4860,580,1098,3255,33,6,3,844
FL,1267192,12,NA,NA,South Beach CDP,3703,3418,168,23,27,42,6,155
FL,1267258,12,NA,NA,South Bradenton CDP,26858,14746,7870,3424,591,486,45,6084
FL,1267266,12,NA,NA,South Brooksville CDP,4311,3157,428,541,101,69,5,352
FL,1267270,12,NA,NA,Southchase CDP,16276,3046,8600,2634,212,2015,80,7310
FL,1267325,12,NA,NA,South Daytona city,12865,9666,951,1735,312,253,19,674
FL,1267355,12,NA,NA,Southeast Arcadia CDP,6299,2045,3706,419,133,56,6,2841
FL,1267425,12,NA,NA,Southgate CDP,6287,4820,981,173,103,175,5,881
FL,1267450,12,NA,NA,South Gate Ridge CDP,6024,4615,880,178,104,162,17,772
FL,1267462,12,NA,NA,South Highpoint CDP,5018,2022,1806,790,144,339,28,1484
FL,1267550,12,NA,NA,South Miami city,12026,3466,6213,1689,134,639,21,4782
FL,1267575,12,NA,NA,South Miami Heights CDP,36770,2119,28225,6607,353,632,33,21383
FL,1267650,12,NA,NA,South Palm Beach town,1471,1270,123,23,8,34,3,113
FL,1267675,12,NA,NA,South Pasadena city,5353,4788,248,169,54,72,12,215
FL,1267725,12,NA,NA,South Patrick Shores CDP,6496,5493,425,129,159,241,19,398
FL,1267887,12,NA,NA,South Sarasota CDP,5133,4329,457,97,63,143,3,384
FL,1268100,12,NA,NA,South Venice CDP,15619,13706,1003,263,278,318,14,834
FL,1268135,12,NA,NA,Southwest Ranches town,7607,3380,3240,521,94,400,20,2534
FL,1268275,12,NA,NA,Springfield city,8075,4457,849,2158,240,422,24,686
FL,1268350,12,NA,NA,Spring Hill CDP,113568,78660,21577,8601,2643,2885,257,16160
FL,1268365,12,NA,NA,Springhill CDP,169,146,7,5,14,1,1,3
FL,1268375,12,NA,NA,Spring Lake CDP,465,392,46,15,9,9,3,34
FL,1268435,12,NA,NA,Spring Ridge CDP,442,399,41,6,2,3,2,27
FL,1268487,12,NA,NA,Stacey Street CDP,978,43,440,501,17,2,0,369
FL,1268525,12,NA,NA,Starke city,5796,3423,325,1851,123,82,20,239
FL,1268625,12,NA,NA,Steinhatchee CDP,1049,963,26,6,44,9,3,23
FL,1268800,12,NA,NA,Stock Island CDP,4722,1662,2016,1051,57,59,6,1359
FL,1268875,12,NA,NA,Stuart city,17425,11905,2622,2298,281,388,20,2058
FL,1268950,12,NA,NA,Sugarmill Woods CDP,11204,9787,595,285,236,238,12,542
FL,1269025,12,NA,NA,Sumatra CDP,187,182,3,3,2,0,0,2
FL,1269250,12,NA,NA,Sun City Center CDP,30952,24037,2911,3095,335,722,38,2343
FL,1269275,12,NA,NA,Suncoast Estates CDP,4097,3167,675,85,126,21,0,505
FL,1269555,12,NA,NA,Sunny Isles Beach city,22342,11858,8394,620,125,553,11,7563
FL,1269700,12,NA,NA,Sunrise city,97335,24490,34037,34589,953,5306,253,27366
FL,1269812,12,NA,NA,Sunset CDP,15912,2115,13176,338,102,407,18,10023
FL,1270075,12,NA,NA,Surfside town,5689,2717,2512,162,47,126,3,2046
FL,1270345,12,NA,NA,Sweetwater city,19363,726,18145,525,161,284,16,13679
FL,1270525,12,NA,NA,Taft CDP,2221,868,1031,264,61,75,11,844
FL,1270600,12,NA,NA,Tallahassee city,196169,94095,16663,73007,3223,10969,345,12033
FL,1270675,12,NA,NA,Tamarac city,71897,21741,21875,25981,760,3001,130,17673
FL,1270700,12,NA,NA,Tamiami CDP,54212,3210,50079,920,232,549,26,38448
FL,1271000,12,NA,NA,Tampa city,384959,166775,98621,94954,6423,25833,940,73440
FL,1271075,12,NA,NA,Tangelo Park CDP,2459,116,546,1786,37,40,1,456
FL,1271100,12,NA,NA,Tangerine CDP,3237,1657,773,708,89,80,1,542
FL,1271150,12,NA,NA,Tarpon Springs city,25117,19804,2282,1941,419,553,57,2060
FL,1271225,12,NA,NA,Tavares city,19003,12932,2223,2739,365,859,42,1667
FL,1271250,12,NA,NA,Tavernier CDP,2530,1595,821,54,45,29,2,600
FL,1271300,12,NA,NA,Taylor Creek CDP,4470,3681,519,110,68,62,2,363
FL,1271400,12,NA,NA,Temple Terrace city,26690,12968,4748,7019,501,1943,80,3572
FL,1271525,12,NA,NA,Tequesta village,6158,5326,500,99,85,136,9,428
FL,1271564,12,NA,NA,The Acreage CDP,41654,23892,9208,6032,857,1636,103,7411
FL,1271567,12,NA,NA,The Crossings CDP,23276,3597,17750,1312,233,771,15,13600
FL,1271569,12,NA,NA,The Hammocks CDP,59480,5846,48487,3589,570,2232,54,37629
FL,1271580,12,NA,NA,The Meadows CDP,5037,4607,195,114,33,59,2,187
FL,1271625,12,NA,NA,The Villages CDP,79077,75374,1410,683,486,761,47,1580
FL,1271725,12,NA,NA,Thonotosassa CDP,15238,8762,2648,2879,412,738,27,1931
FL,1271741,12,NA,NA,Three Lakes CDP,16540,2192,11967,1610,172,935,33,9217
FL,1271758,12,NA,NA,Three Oaks CDP,5472,4073,850,200,54,278,1,647
FL,1271800,12,NA,NA,Tice CDP,4853,972,3564,277,352,26,3,2718
FL,1271825,12,NA,NA,Tierra Verde CDP,3836,3409,178,62,52,102,1,182
FL,1271842,12,NA,NA,Tiger Point CDP,3342,2872,186,73,79,130,7,152
FL,1271850,12,NA,NA,Tildenville CDP,475,62,75,292,12,39,1,74
FL,1271867,12,NA,NA,Timber Pines CDP,5163,4950,129,41,25,16,12,94
FL,1271900,12,NA,NA,Titusville city,48789,33944,4675,7815,1219,1409,130,3440
FL,1272145,12,NA,NA,Town 'n' Country CDP,85951,27344,44442,9319,1358,5409,222,35021
FL,1272325,12,NA,NA,Treasure Island city,6584,5900,324,107,97,114,13,298
FL,1272350,12,NA,NA,Trenton city,2015,1313,284,345,50,28,9,256
FL,1272425,12,NA,NA,Trilby CDP,433,221,67,136,12,4,0,52
FL,1272442,12,NA,NA,Trinity CDP,11924,9717,1001,422,180,587,36,896
FL,1272521,12,NA,NA,Tropical Park CDP,2013,798,260,912,39,47,5,174
FL,1272875,12,NA,NA,Tyndall AFB CDP,139,66,40,23,8,14,6,16
FL,1273025,12,NA,NA,Umatilla city,3685,2996,461,106,102,29,5,369
FL,1273075,12,NA,NA,Union Park CDP,10452,3360,5249,1354,285,675,38,3872
FL,1273163,12,NA,NA,University CDP,50893,14221,17426,16392,1111,3727,189,13737
FL,1273172,12,NA,NA,University CDP,45284,23342,11783,6020,780,3639,107,8861
FL,1273312,12,NA,NA,Upper Grand Lagoon CDP,15778,12546,1134,945,528,581,68,1037
FL,1273675,12,NA,NA,Valparaiso city,4752,3493,403,373,189,327,49,301
FL,1273700,12,NA,NA,Valrico CDP,37895,22827,7962,4505,873,2358,74,6023
FL,1273725,12,NA,NA,Vamo CDP,2822,2438,208,71,23,48,4,215
FL,1273900,12,NA,NA,Venice city,25463,23466,945,306,261,363,22,895
FL,1273950,12,NA,NA,Venice Gardens CDP,3402,2874,258,75,71,119,3,220
FL,1274016,12,NA,NA,Verandah CDP,1791,1670,51,34,14,21,0,52
FL,1274125,12,NA,NA,Vernon city,732,523,29,114,47,15,2,23
FL,1274150,12,NA,NA,Vero Beach city,16354,12741,1937,905,256,468,24,1605
FL,1274200,12,NA,NA,Vero Beach South CDP,28020,21425,3367,1837,477,772,34,2825
FL,1274225,12,NA,NA,Vero Lake Estates CDP,6782,4508,1619,368,199,82,10,1247
FL,1274235,12,NA,NA,Verona Walk CDP,2713,2457,144,36,18,35,1,144
FL,1274368,12,NA,NA,Viera East CDP,11687,8698,1259,940,187,619,26,1077
FL,1274370,12,NA,NA,Viera West CDP,16688,11936,1963,1039,234,1473,69,1633
FL,1274400,12,NA,NA,Vilano Beach CDP,2514,2268,123,26,39,38,2,125
FL,1274512,12,NA,NA,Villas CDP,12687,9256,2021,789,194,374,14,1716
FL,1274562,12,NA,NA,Vineyards CDP,3883,3519,190,60,13,71,0,155
FL,1274575,12,NA,NA,Virginia Gardens village,2364,289,2008,45,19,34,0,1501
FL,1274625,12,NA,NA,Wabasso CDP,1627,976,142,413,41,38,3,134
FL,1274635,12,NA,NA,Wabasso Beach CDP,2194,2065,46,7,24,17,0,74
FL,1274700,12,NA,NA,Wacissa CDP,362,309,5,34,16,0,0,2
FL,1274775,12,NA,NA,Wahneta CDP,4409,1341,2828,219,123,17,16,1867
FL,1274925,12,NA,NA,Waldo city,846,539,53,205,51,15,1,41
FL,1274975,12,NA,NA,Wallace CDP,3868,3222,219,160,159,100,12,185
FL,1275175,12,NA,NA,Warm Mineral Springs CDP,5442,4924,253,131,36,67,7,233
FL,1275200,12,NA,NA,Warrington CDP,15218,9723,1000,3456,520,579,85,814
FL,1275225,12,NA,NA,Washington Park CDP,1948,47,121,1787,18,8,1,101
FL,1275275,12,NA,NA,Watergate CDP,3459,1679,1016,300,86,135,1,1105
FL,1275300,12,NA,NA,Watertown CDP,3018,1747,139,1055,66,40,1,89
FL,1275375,12,NA,NA,Wauchula city,4900,2008,2385,438,99,60,7,1686
FL,1275425,12,NA,NA,Waukeenah CDP,259,182,9,62,4,3,0,3
FL,1275450,12,NA,NA,Wausau town,371,330,11,7,12,4,2,13
FL,1275475,12,NA,NA,Waverly CDP,661,243,159,248,12,7,1,117
FL,1275600,12,NA,NA,Webster city,778,287,264,226,24,4,2,195
FL,1275612,12,NA,NA,Wedgefield CDP,8017,4130,2259,994,176,558,37,1795
FL,1275625,12,NA,NA,Weeki Wachee city,16,11,1,2,1,2,1,1
FL,1275641,12,NA,NA,Weeki Wachee Gardens CDP,1138,1035,42,7,31,17,1,40
FL,1275725,12,NA,NA,Wekiwa Springs CDP,23428,17256,3418,1325,404,1050,35,2772
FL,1275750,12,NA,NA,Welaka town,714,497,54,131,15,8,5,47
FL,1275812,12,NA,NA,Wellington village,61637,34308,14912,7941,714,3982,102,12020
FL,1275875,12,NA,NA,Wesley Chapel CDP,64866,33105,15734,9735,1286,6035,162,12275
FL,1276050,12,NA,NA,West Bradenton CDP,4247,3640,272,109,87,115,14,215
FL,1276058,12,NA,NA,West Canaveral Groves CDP,272,241,8,6,13,6,3,8
FL,1276062,12,NA,NA,Westchase CDP,25952,15456,4697,1829,301,3581,37,3952
FL,1276075,12,NA,NA,Westchester CDP,56384,4005,49876,2040,324,955,47,38216
FL,1276087,12,NA,NA,West DeLand CDP,3908,2751,655,344,106,59,4,554
FL,1276290,12,NA,NA,Westgate CDP,8435,938,4780,2640,249,165,10,3799
FL,1276417,12,NA,NA,Westlake city,906,396,259,189,11,61,2,209
FL,1276481,12,NA,NA,West Lealman CDP,16438,11822,1968,1287,358,996,31,1504
FL,1276487,12,NA,NA,West Little River CDP,34128,874,19761,14535,343,159,31,14274
FL,1276500,12,NA,NA,West Melbourne city,25924,17858,3221,1902,518,2402,64,2686
FL,1276525,12,NA,NA,West Miami city,7233,600,6404,227,71,86,4,5020
FL,1276582,12,NA,NA,Weston city,68107,20776,36878,3712,686,5693,89,31156
FL,1276600,12,NA,NA,West Palm Beach city,117415,44921,28899,40075,1983,3822,207,22645
FL,1276658,12,NA,NA,West Park city,15130,1214,4889,9216,268,242,20,3716
FL,1276675,12,NA,NA,West Pensacola CDP,21019,8815,1651,9176,608,916,56,1355
FL,1276700,12,NA,NA,West Perrine CDP,10602,427,5065,5239,95,125,4,3911
FL,1276740,12,NA,NA,West Samoset CDP,6482,1366,3583,1489,120,44,9,2688
FL,1276937,12,NA,NA,West Vero Corridor CDP,10039,8601,796,293,136,181,18,661
FL,1276950,12,NA,NA,Westview CDP,9923,217,3898,6114,92,42,5,2839
FL,1276975,12,NA,NA,Westville town,261,247,4,0,9,1,0,4
FL,1277075,12,NA,NA,Westwood Lakes CDP,11373,1132,10025,193,87,138,5,7783
FL,1277100,12,NA,NA,Wewahitchka city,2074,1772,35,172,80,15,3,28
